protocol,networkID,group,radio,priority,override,hits,timestamp,radio alias
P25,BEE00.2D1,-2,2038487,50,Normal,41,17/05/2024 20:40,VRA Rescue NSW - 92 ICT Portable 1
P25,BEE00.2D1,-2,2027865,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - 92 ICT Portable 2
P25,BEE00.2D1,-2,2035383,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 1
P25,BEE00.2D1,-2,2038301,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 2
P25,BEE00.2D1,-2,2039749,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 3
P25,BEE00.2D1,-2,2039750,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 4
P25,BEE00.2D1,-2,2039751,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 5
P25,BEE00.2D1,-2,2039752,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 6
P25,BEE00.2D1,-2,2039753,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 7
P25,BEE00.2D1,-2,2039754,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 8
P25,BEE00.2D1,-2,2035384,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Batlow Portable 1
P25,BEE00.2D1,-2,2038293,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Batlow Portable 2
P25,BEE00.2D1,-2,2039755,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Batlow Portable 3
P25,BEE00.2D1,-2,2039829,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Batlow Portable 4
P25,BEE00.2D1,-2,2039830,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Batlow Portable 5
P25,BEE00.2D1,-2,2039781,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Batlow Portable 6
P25,BEE00.2D1,-2,2035396,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 1
P25,BEE00.2D1,-2,2037789,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 2
P25,BEE00.2D1,-2,2039831,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 3
P25,BEE00.2D1,-2,2039782,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 4
P25,BEE00.2D1,-2,2039832,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 5
P25,BEE00.2D1,-2,2039833,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 6
P25,BEE00.2D1,-2,2039834,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 7
P25,BEE00.2D1,-2,2038700,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 8
P25,BEE00.2D1,-2,2035385,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Binalong Portable 1
P25,BEE00.2D1,-2,2038294,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Binalong Portable 2
P25,BEE00.2D1,-2,2039756,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Binalong Portable 3
P25,BEE00.2D1,-2,2039835,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Binalong Portable 4
P25,BEE00.2D1,-2,2039783,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Binalong Portable 5
P25,BEE00.2D1,-2,2039836,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Binalong Portable 6
P25,BEE00.2D1,-2,2035397,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 1
P25,BEE00.2D1,-2,2038688,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 2
P25,BEE00.2D1,-2,2039772,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 3
P25,BEE00.2D1,-2,2038681,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 4
P25,BEE00.2D1,-2,2038663,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 5
P25,BEE00.2D1,-2,2038689,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 6
P25,BEE00.2D1,-2,2038664,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 7
P25,BEE00.2D1,-2,2038682,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 8
P25,BEE00.2D1,-2,2035387,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Burren Junction Portabe 1
P25,BEE00.2D1,-2,2039757,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Burren Junction Portabe 2
P25,BEE00.2D1,-2,2039816,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Burren Junction Portabe 3
P25,BEE00.2D1,-2,2039817,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Burren Junction Portabe 4
P25,BEE00.2D1,-2,2039758,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Burren Junction Portabe 5
P25,BEE00.2D1,-2,2039818,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Burren Junction Portabe 6
P25,BEE00.2D1,-2,2035380,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 1
P25,BEE00.2D1,-2,2038665,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 2
P25,BEE00.2D1,-2,2038666,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 3
P25,BEE00.2D1,-2,2038683,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 4
P25,BEE00.2D1,-2,2038690,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 5
P25,BEE00.2D1,-2,2039854,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 6
P25,BEE00.2D1,-2,2038691,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 7
P25,BEE00.2D1,-2,2039855,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 8
P25,BEE00.2D1,-2,2035368,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 1
P25,BEE00.2D1,-2,2039845,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 2
P25,BEE00.2D1,-2,2039797,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 3
P25,BEE00.2D1,-2,2038629,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 4
P25,BEE00.2D1,-2,2038694,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 5
P25,BEE00.2D1,-2,2039798,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 6
P25,BEE00.2D1,-2,2038630,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 7
P25,BEE00.2D1,-2,2038695,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 8
P25,BEE00.2D1,-2,2035362,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Cessnock Portable 1
