Protocol,NetworkID,Group,Radio,priority,Override,Hits,Timestamp,Radio alias
P25,BEE00.2D1,-2,2038550,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 100A
P25,BEE00.2D1,-2,2038551,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 100B
P25,BEE00.2D1,-2,2038552,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 100C
P25,BEE00.2D1,-2,2038553,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 100D
P25,BEE00.2D1,-2,2038554,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 100E
P25,BEE00.2D1,-2,2038600,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 111
P25,BEE00.2D1,-2,2038618,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 121
P25,BEE00.2D1,-2,2034449,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 122
P25,BEE00.2D1,-2,2034430,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 123
P25,BEE00.2D1,-2,2034424,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 140
P25,BEE00.2D1,-2,2037371,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 141
P25,BEE00.2D1,-2,2034422,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 142
P25,BEE00.2D1,-2,2038482,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 143
P25,BEE00.2D1,-2,2038249,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 144
P25,BEE00.2D1,-2,2038603,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 145
P25,BEE00.2D1,-2,2038602,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 146
P25,BEE00.2D1,-2,2038594,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 147
P25,BEE00.2D1,-2,2038226,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 148
P25,BEE00.2D1,-2,2038250,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 149
P25,BEE00.2D1,-2,2017993,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 150
P25,BEE00.2D1,-2,2038237,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 151
P25,BEE00.2D1,-2,2038484,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Headquarters 152
P25,BEE00.2D1,-2,2038578,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Tweed 210
P25,BEE00.2D1,-2,2038223,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Tweed 211
P25,BEE00.2D1,-2,2034441,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Tweed 212
P25,BEE00.2D1,-2,2037786,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Tweed 213
P25,BEE00.2D1,-2,2038218,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Tweed 214
P25,BEE00.2D1,-2,2034420,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Tweed 215
P25,BEE00.2D1,-2,2038592,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Norfolk 222
P25,BEE00.2D1,-2,2038541,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino 240
P25,BEE00.2D1,-2,2038233,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino 241
